item_id	alpha	topic_vector
e7b552dd-17c0-403b-b492-6c4b97dad4ae	[2,2,2,20,2,2,2,20,2,2]	[0.01445057,0.10122961,0.02392015,0.27931167,0.00063670,0.04985136,0.04762338,0.42796005,0.03311686,0.02189964]
9a0ed29b-935f-42c2-943c-e1831850b4ba	[2,2,2,20,2,2,2,20,2,2]	[0.05815740,0.01830826,0.00735745,0.34806936,0.05363267,0.00580578,0.03056863,0.37681430,0.01704434,0.08424180]
c3f1d629-1284-4ba3-9d47-f1cb517e5d6e	[2,2,2,20,2,2,2,20,2,2]	[0.02115058,0.02116159,0.02529317,0.33988753,0.02114848,0.04067027,0.01750139,0.48662461,0.00884455,0.01771782]
b81fd27b-6935-4fac-a054-962246d7b72f	[2,2,2,20,2,2,2,20,2,2]	[0.10704957,0.01891018,0.03289813,0.39633912,0.01318483,0.01742041,0.04380848,0.33495960,0.01809888,0.01733081]
cf9f635e-bbcf-4a74-835e-1bfc07ef0f6d	[2,2,2,20,2,2,2,20,2,2]	[0.07594396,0.06563409,0.03511770,0.34792099,0.03367835,0.04288484,0.04309661,0.31201502,0.02277674,0.02093170]
0d8143ab-8f8c-4f82-9479-a27b638fbb30	[2,2,2,20,2,2,2,20,2,2]	[0.03761768,0.07386168,0.03087603,0.37157857,0.01502933,0.00637419,0.02237625,0.42195623,0.01532434,0.00500571]
cdf49d11-235b-4407-b6eb-f0fcd453a789	[2,2,2,20,2,2,2,20,2,2]	[0.04716166,0.04362718,0.01965588,0.32634688,0.02527085,0.02090949,0.09185640,0.35602594,0.04132565,0.02782008]
dd678ed1-c4eb-4af6-b32b-7f2ae0172727	[2,2,2,20,2,2,2,20,2,2]	[0.03490042,0.01663444,0.01613833,0.31670711,0.01431888,0.01950543,0.04213613,0.40741887,0.09242226,0.03981815]
ddbab9aa-ded2-42f8-959e-d85bbb74ea1e	[2,2,2,20,2,2,2,20,2,2]	[0.02996682,0.01081968,0.04965867,0.40249619,0.01714686,0.07981494,0.05324743,0.32757622,0.02138034,0.00789286]
4fa51a43-bad5-4670-9837-73ca3d9acb00	[2,2,2,20,2,2,2,20,2,2]	[0.07523557,0.00770071,0.07759275,0.45978926,0.01195224,0.00762307,0.01814948,0.30715334,0.01688904,0.01791452]
9ce30e5f-d33b-410b-ad82-ace1a35abb75	[2,2,2,20,2,2,2,20,2,2]	[0.02602487,0.07558968,0.02351151,0.37350069,0.00919455,0.02883027,0.01996111,0.37068294,0.00848420,0.06422017]
f2eb2390-7e02-4e99-9567-c01a14fdb210	[2,2,2,20,2,2,2,20,2,2]	[0.02309463,0.01688861,0.10225050,0.40857446,0.03057684,0.01005608,0.01457977,0.29047665,0.03280279,0.07069967]
60152d19-c80a-430d-895c-d283936690ec	[2,2,2,20,2,2,2,20,2,2]	[0.04048973,0.03364267,0.03057019,0.45647616,0.02637661,0.00781041,0.06396517,0.29479265,0.00673369,0.03914271]
1e39da66-4db1-4342-bf2b-9a4befadc826	[2,2,2,20,2,2,2,20,2,2]	[0.00414544,0.03093402,0.03543642,0.41651018,0.04061837,0.00922590,0.05789247,0.37233547,0.02301614,0.00988558]
4adfb5cc-a016-4621-bcdc-b395250660bc	[2,2,2,20,2,2,2,20,2,2]	[0.05383246,0.05022377,0.01643033,0.33753663,0.04217145,0.02035874,0.05062046,0.38321147,0.00456201,0.04105270]
26fe2557-54a0-416d-ac79-140603c4828e	[2,2,2,20,2,2,2,20,2,2]	[0.01583716,0.01145850,0.00325897,0.29276651,0.01878582,0.01518566,0.04054913,0.54959057,0.03384644,0.01872124]
91660297-f510-4978-89e6-50728caf5a4d	[2,2,2,20,2,2,2,20,2,2]	[0.04915317,0.00985295,0.01607822,0.29931819,0.02722177,0.04547038,0.06638790,0.35087066,0.06678894,0.06885781]
600a62ed-428e-48a6-b292-ed30969253ba	[2,2,2,20,2,2,2,20,2,2]	[0.03469249,0.02479385,0.04391186,0.22865781,0.05245641,0.04786094,0.01102203,0.45547181,0.05904029,0.04209252]
ca72f1a5-3c97-425c-80ff-9802ae2db4ad	[2,2,2,20,2,2,2,20,2,2]	[0.02765476,0.08342489,0.00698648,0.37337552,0.05133667,0.07104613,0.06530801,0.26565251,0.01147591,0.04373912]
59e2386a-db28-4f5a-9321-3682587c7834	[2,2,2,20,2,2,2,20,2,2]	[0.04660616,0.00753671,0.01367459,0.31160920,0.00750197,0.01490331,0.03688844,0.48217292,0.05537822,0.02372847]
59bd5369-eb43-4cb5-8adc-0666ddbeb221	[2,2,2,20,2,2,2,20,2,2]	[0.05866025,0.04976877,0.03294448,0.43462985,0.03076759,0.00644031,0.04001272,0.30845684,0.01807356,0.02024563]
f350ad9a-244f-4d82-956f-4c449302c4f7	[2,2,2,20,2,2,2,20,2,2]	[0.04258107,0.03806852,0.10386214,0.37382577,0.03661229,0.03213045,0.03179401,0.28018519,0.01920564,0.04173492]
be53f475-1fa3-4fed-b3f4-31064187cdd9	[2,2,2,20,2,2,2,20,2,2]	[0.00697008,0.02273966,0.06670138,0.30606517,0.07962014,0.02209701,0.05646119,0.33593139,0.01072675,0.09268724]
